"Notes"	"State"	"State Code"	"Year"	"Year Code"	"MCD - Drug/Alcohol Induced"	"MCD - Drug/Alcohol Induced Code"	Deaths	Population	Crude Rate
	"Alaska"	"02"	"2015"	"2015"	"Drug-induced causes"	"D"	127	738432	17.2
	"Alaska"	"02"	"2015"	"2015"	"Alcohol-induced causes"	"A"	39	738432	5.3
	"Alaska"	"02"	"2015"	"2015"	"All other non-drug and non-alcohol causes"	"O"	125	738432	16.9
	"Alaska"	"02"	"2016"	"2016"	"Drug-induced causes"	"D"	138	741894	18.6
	"Alaska"	"02"	"2016"	"2016"	"Alcohol-induced causes"	"A"	34	741894	4.6
	"Alaska"	"02"	"2016"	"2016"	"All other non-drug and non-alcohol causes"	"O"	137	741894	18.5
	"Alaska"	"02"	"2017"	"2017"	"Drug-induced causes"	"D"	158	739795	21.4
	"Alaska"	"02"	"2017"	"2017"	"Alcohol-induced causes"	"A"	41	739795	5.5
	"Alaska"	"02"	"2017"	"2017"	"All other non-drug and non-alcohol causes"	"O"	158	739795	21.4
	"Alaska"	"02"	"2018"	"2018"	"Drug-induced causes"	"D"	119	737438	16.1
	"Alaska"	"02"	"2018"	"2018"	"Alcohol-induced causes"	"A"	21	737438	2.8
	"Alaska"	"02"	"2018"	"2018"	"All other non-drug and non-alcohol causes"	"O"	119	737438	16.1
	"Alaska"	"02"	"2019"	"2019"	"Drug-induced causes"	"D"	149	731545	20.4
	"Alaska"	"02"	"2019"	"2019"	"Alcohol-induced causes"	"A"	33	731545	4.5
	"Alaska"	"02"	"2019"	"2019"	"All other non-drug and non-alcohol causes"	"O"	149	731545	20.4
	"Arizona"	"04"	"1999"	"1999"	"Drug-induced causes"	"D"	557	5023823	11.1
	"Arizona"	"04"	"1999"	"1999"	"Alcohol-induced causes"	"A"	69	5023823	1.4
	"Arizona"	"04"	"1999"	"1999"	"All other non-drug and non-alcohol causes"	"O"	548	5023823	10.9
	"Arizona"	"04"	"2000"	"2000"	"Drug-induced causes"	"D"	559	5130632	10.9
	"Arizona"	"04"	"2000"	"2000"	"Alcohol-induced causes"	"A"	102	5130632	2.0
	"Arizona"	"04"	"2000"	"2000"	"All other non-drug and non-alcohol causes"	"O"	544	5130632	10.6
	"Arizona"	"04"	"2001"	"2001"	"Drug-induced causes"	"D"	598	5273477	11.3
	"Arizona"	"04"	"2001"	"2001"	"Alcohol-induced causes"	"A"	104	5273477	2.0
	"Arizona"	"04"	"2001"	"2001"	"All other non-drug and non-alcohol causes"	"O"	579	5273477	11.0
	"Arizona"	"04"	"2002"	"2002"	"Drug-induced causes"	"D"	667	5396255	12.4
	"Arizona"	"04"	"2002"	"2002"	"Alcohol-induced causes"	"A"	107	5396255	2.0
	"Arizona"	"04"	"2002"	"2002"	"All other non-drug and non-alcohol causes"	"O"	656	5396255	12.2
	"Arizona"	"04"	"2003"	"2003"	"Drug-induced causes"	"D"	739	5510364	13.4
	"Arizona"	"04"	"2003"	"2003"	"Alcohol-induced causes"	"A"	127	5510364	2.3
	"Arizona"	"04"	"2003"	"2003"	"All other non-drug and non-alcohol causes"	"O"	708	5510364	12.8
	"Arizona"	"04"	"2004"	"2004"	"Drug-induced causes"	"D"	803	5652404	14.2
	"Arizona"	"04"	"2004"	"2004"	"Alcohol-induced causes"	"A"	127	5652404	2.2
	"Arizona"	"04"	"2004"	"2004"	"All other non-drug and non-alcohol causes"	"O"	782	5652404	13.8
	"Arizona"	"04"	"2005"	"2005"	"Drug-induced causes"	"D"	849	5839077	14.5
	"Arizona"	"04"	"2005"	"2005"	"Alcohol-induced causes"	"A"	94	5839077	1.6
	"Arizona"	"04"	"2005"	"2005"	"All other non-drug and non-alcohol causes"	"O"	829	5839077	14.2
	"Arizona"	"04"	"2006"	"2006"	"Drug-induced causes"	"D"	959	6029141	15.9
	"Arizona"	"04"	"2006"	"2006"	"Alcohol-induced causes"	"A"	135	6029141	2.2
	"Arizona"	"04"	"2006"	"2006"	"All other non-drug and non-alcohol causes"	"O"	930	6029141	15.4
	"Arizona"	"04"	"2007"	"2007"	"Drug-induced causes"	"D"	981	6167681	15.9
	"Arizona"	"04"	"2007"	"2007"	"Alcohol-induced causes"	"A"	124	6167681	2.0
	"Arizona"	"04"	"2007"	"2007"	"All other non-drug and non-alcohol causes"	"O"	960	6167681	15.6
	"Arizona"	"04"	"2008"	"2008"	"Drug-induced causes"	"D"	853	6280362	13.6
	"Arizona"	"04"	"2008"	"2008"	"Alcohol-induced causes"	"A"	116	6280362	1.8
	"Arizona"	"04"	"2008"	"2008"	"All other non-drug and non-alcohol causes"	"O"	841	6280362	13.4
	"Arizona"	"04"	"2009"	"2009"	"Drug-induced causes"	"D"	1041	6343154	16.4
	"Arizona"	"04"	"2009"	"2009"	"Alcohol-induced causes"	"A"	149	6343154	2.3
	"Arizona"	"04"	"2009"	"2009"	"All other non-drug and non-alcohol causes"	"O"	1028	6343154	16.2
	"Arizona"	"04"	"2010"	"2010"	"Drug-induced causes"	"D"	1141	6392017	17.9
	"Arizona"	"04"	"2010"	"2010"	"Alcohol-induced causes"	"A"	144	6392017	2.3
	"Arizona"	"04"	"2010"	"2010"	"All other non-drug and non-alcohol causes"	"O"	1123	6392017	17.6
	"Arizona"	"04"	"2011"	"2011"	"Drug-induced causes"	"D"	1118	6482505	17.2
	"Arizona"	"04"	"2011"	"2011"	"Alcohol-induced causes"	"A"	102	6482505	1.6
	"Arizona"	"04"	"2011"	"2011"	"All other non-drug and non-alcohol causes"	"O"	1099	6482505	17.0
	"Arizona"	"04"	"2012"	"2012"	"Drug-induced causes"	"D"	1206	6553255	18.4
	"Arizona"	"04"	"2012"	"2012"	"Alcohol-induced causes"	"A"	139	6553255	2.1
	"Arizona"	"04"	"2012"	"2012"	"All other non-drug and non-alcohol causes"	"O"	1172	6553255	17.9
	"Arizona"	"04"	"2013"	"2013"	"Drug-induced causes"	"D"	1304	6626624	19.7
	"Arizona"	"04"	"2013"	"2013"	"Alcohol-induced causes"	"A"	151	6626624	2.3
	"Arizona"	"04"	"2013"	"2013"	"All other non-drug and non-alcohol causes"	"O"	1263	6626624	19.1
	"Arizona"	"04"	"2014"	"2014"	"Drug-induced causes"	"D"	1274	6731484	18.9
	"Arizona"	"04"	"2014"	"2014"	"Alcohol-induced causes"	"A"	185	6731484	2.7
	"Arizona"	"04"	"2014"	"2014"	"All other non-drug and non-alcohol causes"	"O"	1258	6731484	18.7
	"Arizona"	"04"	"2015"	"2015"	"Drug-induced causes"	"D"	1351	6828065	19.8
	"Arizona"	"04"	"2015"	"2015"	"Alcohol-induced causes"	"A"	188	6828065	2.8
	"Arizona"	"04"	"2015"	"2015"	"All other non-drug and non-alcohol causes"	"O"	1324	6828065	19.4
	"Arizona"	"04"	"2016"	"2016"	"Drug-induced causes"	"D"	1500	6931071	21.6
	"Arizona"	"04"	"2016"	"2016"	"Alcohol-induced causes"	"A"	193	6931071	2.8
	"Arizona"	"04"	"2016"	"2016"	"All other non-drug and non-alcohol causes"	"O"	1456	6931071	21.0
	"Arizona"	"04"	"2017"	"2017"	"Drug-induced causes"	"D"	1628	7016270	23.2
	"Arizona"	"04"	"2017"	"2017"	"Alcohol-induced causes"	"A"	200	7016270	2.9
	"Arizona"	"04"	"2017"	"2017"	"All other non-drug and non-alcohol causes"	"O"	1606	7016270	22.9
	"Arizona"	"04"	"2018"	"2018"	"Drug-induced causes"	"D"	1784	7171646	24.9
	"Arizona"	"04"	"2018"	"2018"	"Alcohol-induced causes"	"A"	295	7171646	4.1
	"Arizona"	"04"	"2018"	"2018"	"All other non-drug and non-alcohol causes"	"O"	1760	7171646	24.5
	"Arizona"	"04"	"2019"	"2019"	"Drug-induced causes"	"D"	2016	7278717	27.7
	"Arizona"	"04"	"2019"	"2019"	"Alcohol-induced causes"	"A"	367	7278717	5.0
	"Arizona"	"04"	"2019"	"2019"	"All other non-drug and non-alcohol causes"	"O"	1987	7278717	27.3
	"Arkansas"	"05"	"1999"	"1999"	"Drug-induced causes"	"D"	121	2651860	4.6
	"Arkansas"	"05"	"1999"	"1999"	"All other non-drug and non-alcohol causes"	"O"	120	2651860	4.5
	"Arkansas"	"05"	"2000"	"2000"	"Drug-induced causes"	"D"	151	2673400	5.6
	"Arkansas"	"05"	"2000"	"2000"	"Alcohol-induced causes"	"A"	12	2673400	Unreliable
	"Arkansas"	"05"	"2000"	"2000"	"All other non-drug and non-alcohol causes"	"O"	151	2673400	5.6
	"Arkansas"	"05"	"2001"	"2001"	"Drug-induced causes"	"D"	131	2691571	4.9
	"Arkansas"	"05"	"2001"	"2001"	"Alcohol-induced causes"	"A"	17	2691571	Unreliable
	"Arkansas"	"05"	"2001"	"2001"	"All other non-drug and non-alcohol causes"	"O"	131	2691571	4.9
	"Arkansas"	"05"	"2002"	"2002"	"Drug-induced causes"	"D"	189	2705927	7.0
	"Arkansas"	"05"	"2002"	"2002"	"Alcohol-induced causes"	"A"	27	2705927	1.0
	"Arkansas"	"05"	"2002"	"2002"	"All other non-drug and non-alcohol causes"	"O"	190	2705927	7.0
	"Arkansas"	"05"	"2003"	"2003"	"Drug-induced causes"	"D"	203	2724816	7.5
	"Arkansas"	"05"	"2003"	"2003"	"Alcohol-induced causes"	"A"	21	2724816	0.8
	"Arkansas"	"05"	"2003"	"2003"	"All other non-drug and non-alcohol causes"	"O"	201	2724816	7.4
	"Arkansas"	"05"	"2004"	"2004"	"Drug-induced causes"	"D"	249	2749686	9.1
	"Arkansas"	"05"	"2004"	"2004"	"Alcohol-induced causes"	"A"	43	2749686	1.6
	"Arkansas"	"05"	"2004"	"2004"	"All other non-drug and non-alcohol causes"	"O"	249	2749686	9.1
	"Arkansas"	"05"	"2005"	"2005"	"Drug-induced causes"	"D"	286	2781097	10.3
	"Arkansas"	"05"	"2005"	"2005"	"Alcohol-induced causes"	"A"	39	2781097	1.4
	"Arkansas"	"05"	"2005"	"2005"	"All other non-drug and non-alcohol causes"	"O"	285	2781097	10.2
	"Arkansas"	"05"	"2006"	"2006"	"Drug-induced causes"	"D"	307	2821761	10.9
	"Arkansas"	"05"	"2006"	"2006"	"Alcohol-induced causes"	"A"	51	2821761	1.8
	"Arkansas"	"05"	"2006"	"2006"	"All other non-drug and non-alcohol causes"	"O"	306	2821761	10.8
	"Arkansas"	"05"	"2007"	"2007"	"Drug-induced causes"	"D"	326	2848650	11.4
	"Arkansas"	"05"	"2007"	"2007"	"Alcohol-induced causes"	"A"	59	2848650	2.1
	"Arkansas"	"05"	"2007"	"2007"	"All other non-drug and non-alcohol causes"	"O"	325	2848650	11.4
	"Arkansas"	"05"	"2008"	"2008"	"Drug-induced causes"	"D"	390	2874554	13.6
	"Arkansas"	"05"	"2008"	"2008"	"Alcohol-induced causes"	"A"	47	2874554	1.6
	"Arkansas"	"05"	"2008"	"2008"	"All other non-drug and non-alcohol causes"	"O"	382	2874554	13.3
	"Arkansas"	"05"	"2009"	"2009"	"Drug-induced causes"	"D"	384	2896843	13.3
	"Arkansas"	"05"	"2009"	"2009"	"Alcohol-induced causes"	"A"	54	2896843	1.9
	"Arkansas"	"05"	"2009"	"2009"	"All other non-drug and non-alcohol causes"	"O"	374	2896843	12.9
	"Arkansas"	"05"	"2010"	"2010"	"Drug-induced causes"	"D"	374	2915918	12.8
	"Arkansas"	"05"	"2010"	"2010"	"Alcohol-induced causes"	"A"	52	2915918	1.8
	"Arkansas"	"05"	"2010"	"2010"	"All other non-drug and non-alcohol causes"	"O"	366	2915918	12.6
	"Arkansas"	"05"	"2011"	"2011"	"Drug-induced causes"	"D"	375	2937979	12.8
	"Arkansas"	"05"	"2011"	"2011"	"Alcohol-induced causes"	"A"	45	2937979	1.5
	"Arkansas"	"05"	"2011"	"2011"	"All other non-drug and non-alcohol causes"	"O"	371	2937979	12.6
	"Arkansas"	"05"	"2012"	"2012"	"Drug-induced causes"	"D"	398	2949131	13.5
	"Arkansas"	"05"	"2012"	"2012"	"Alcohol-induced causes"	"A"	52	2949131	1.8
	"Arkansas"	"05"	"2012"	"2012"	"All other non-drug and non-alcohol causes"	"O"	391	2949131	13.3
	"Arkansas"	"05"	"2013"	"2013"	"Drug-induced causes"	"D"	343	2959373	11.6
	"Arkansas"	"05"	"2013"	"2013"	"Alcohol-induced causes"	"A"	40	2959373	1.4
	"Arkansas"	"05"	"2013"	"2013"	"All other non-drug and non-alcohol causes"	"O"	337	2959373	11.4
	"Arkansas"	"05"	"2014"	"2014"	"Drug-induced causes"	"D"	377	2966369	12.7
	"Arkansas"	"05"	"2014"	"2014"	"Alcohol-induced causes"	"A"	40	2966369	1.3
	"Arkansas"	"05"	"2014"	"2014"	"All other non-drug and non-alcohol causes"	"O"	371	2966369	12.5
	"Arkansas"	"05"	"2015"	"2015"	"Drug-induced causes"	"D"	425	2978204	14.3
	"Arkansas"	"05"	"2015"	"2015"	"Alcohol-induced causes"	"A"	40	2978204	1.3
	"Arkansas"	"05"	"2015"	"2015"	"All other non-drug and non-alcohol causes"	"O"	421	2978204	14.1
	"Arkansas"	"05"	"2016"	"2016"	"Drug-induced causes"	"D"	423	2988248	14.2
	"Arkansas"	"05"	"2016"	"2016"	"Alcohol-induced causes"	"A"	59	2988248	2.0
	"Arkansas"	"05"	"2016"	"2016"	"All other non-drug and non-alcohol causes"	"O"	418	2988248	14.0
	"Arkansas"	"05"	"2017"	"2017"	"Drug-induced causes"	"D"	481	3004279	16.0
	"Arkansas"	"05"	"2017"	"2017"	"Alcohol-induced causes"	"A"	52	3004279	1.7
	"Arkansas"	"05"	"2017"	"2017"	"All other non-drug and non-alcohol causes"	"O"	474	3004279	15.8
	"Arkansas"	"05"	"2018"	"2018"	"Drug-induced causes"	"D"	475	3013825	15.8
	"Arkansas"	"05"	"2018"	"2018"	"Alcohol-induced causes"	"A"	52	3013825	1.7
	"Arkansas"	"05"	"2018"	"2018"	"All other non-drug and non-alcohol causes"	"O"	474	3013825	15.7
	"Arkansas"	"05"	"2019"	"2019"	"Drug-induced causes"	"D"	404	3017804	13.4
	"Arkansas"	"05"	"2019"	"2019"	"Alcohol-induced causes"	"A"	34	3017804	1.1
	"Arkansas"	"05"	"2019"	"2019"	"All other non-drug and non-alcohol causes"	"O"	403	3017804	13.4
	"California"	"06"	"1999"	"1999"	"Drug-induced causes"	"D"	3090	33499204	9.2
	"California"	"06"	"1999"	"1999"	"Alcohol-induced causes"	"A"	281	33499204	0.8
	"California"	"06"	"1999"	"1999"	"All other non-drug and non-alcohol causes"	"O"	2972	33499204	8.9
	"California"	"06"	"2000"	"2000"	"Drug-induced causes"	"D"	2301	33871648	6.8
	"California"	"06"	"2000"	"2000"	"Alcohol-induced causes"	"A"	401	33871648	1.2
	"California"	"06"	"2000"	"2000"	"All other non-drug and non-alcohol causes"	"O"	2188	33871648	6.5
	"California"	"06"	"2001"	"2001"	"Drug-induced causes"	"D"	1507	34479458	4.4
	"California"	"06"	"2001"	"2001"	"Alcohol-induced causes"	"A"	218	34479458	0.6
	"California"	"06"	"2001"	"2001"	"All other non-drug and non-alcohol causes"	"O"	1433	34479458	4.2
	"California"	"06"	"2002"	"2002"	"Drug-induced causes"	"D"	3418	34871843	9.8
	"California"	"06"	"2002"	"2002"	"Alcohol-induced causes"	"A"	472	34871843	1.4
	"California"	"06"	"2002"	"2002"	"All other non-drug and non-alcohol causes"	"O"	3330	34871843	9.5
	"California"	"06"	"2003"	"2003"	"Drug-induced causes"	"D"	3614	35253159	10.3
	"California"	"06"	"2003"	"2003"	"Alcohol-induced causes"	"A"	545	35253159	1.5
	"California"	"06"	"2003"	"2003"	"All other non-drug and non-alcohol causes"	"O"	3484	35253159	9.9
	"California"	"06"	"2004"	"2004"	"Drug-induced causes"	"D"	3681	35574576	10.3
	"California"	"06"	"2004"	"2004"	"Alcohol-induced causes"	"A"	581	35574576	1.6
	"California"	"06"	"2004"	"2004"	"All other non-drug and non-alcohol causes"	"O"	3567	35574576	10.0
	"California"	"06"	"2005"	"2005"	"Drug-induced causes"	"D"	3821	35827943	10.7
	"California"	"06"	"2005"	"2005"	"Alcohol-induced causes"	"A"	494	35827943	1.4
	"California"	"06"	"2005"	"2005"	"All other non-drug and non-alcohol causes"	"O"	3666	35827943	10.2
	"California"	"06"	"2006"	"2006"	"Drug-induced causes"	"D"	4026	36021202	11.2
	"California"	"06"	"2006"	"2006"	"Alcohol-induced causes"	"A"	561	36021202	1.6
	"California"	"06"	"2006"	"2006"	"All other non-drug and non-alcohol causes"	"O"	3905	36021202	10.8
	"California"	"06"	"2007"	"2007"	"Drug-induced causes"	"D"	4178	36250311	11.5
	"California"	"06"	"2007"	"2007"	"Alcohol-induced causes"	"A"	586	36250311	1.6
	"California"	"06"	"2007"	"2007"	"All other non-drug and non-alcohol causes"	"O"	4083	36250311	11.3
	"California"	"06"	"2008"	"2008"	"Drug-induced causes"	"D"	4147	36604337	11.3
