"","Year","State","MCD...Drug.Alcohol.Induced.Cause.Code","Cause","Gender","Deaths","Population","Crude.Rate"
"104",1999,"Maryland","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Female",17,2716928,"Unreliable"
"105",1999,"Maryland","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",32,2537581,"1.3"
"106",1999,"Maryland","D2","Drug poisonings (overdose) Suicide (X60-X64)","Female",26,2716928,"1.0"
"107",1999,"Maryland","D2","Drug poisonings (overdose) Suicide (X60-X64)","Male",24,2537581,"0.9"
"108",1999,"Maryland","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Female",117,2716928,"4.3"
"109",1999,"Maryland","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Male",442,2537581,"17.4"
"110",1999,"Massachusetts","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Female",19,3274830,"Unreliable"
"111",1999,"Massachusetts","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",40,3042515,"1.3"
"112",1999,"Massachusetts","D2","Drug poisonings (overdose) Suicide (X60-X64)","Female",40,3274830,"1.2"
"113",1999,"Massachusetts","D2","Drug poisonings (overdose) Suicide (X60-X64)","Male",30,3042515,"1.0"
"114",1999,"Massachusetts","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Female",116,3274830,"3.5"
"115",1999,"Massachusetts","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Male",280,3042515,"9.2"
"116",1999,"Michigan","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Female",118,5047770,"2.3"
"117",1999,"Michigan","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",253,4849346,"5.2"
"118",1999,"Michigan","D2","Drug poisonings (overdose) Suicide (X60-X64)","Female",60,5047770,"1.2"
"119",1999,"Michigan","D2","Drug poisonings (overdose) Suicide (X60-X64)","Male",42,4849346,"0.9"
"120",1999,"Michigan","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Female",54,5047770,"1.1"
"121",1999,"Michigan","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Male",79,4849346,"1.6"
"122",1999,"Minnesota","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Female",28,2462931,"1.1"
"123",1999,"Minnesota","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",66,2410550,"2.7"
"124",1999,"Minnesota","D2","Drug poisonings (overdose) Suicide (X60-X64)","Female",29,2462931,"1.2"
"125",1999,"Minnesota","D2","Drug poisonings (overdose) Suicide (X60-X64)","Male",24,2410550,"1.0"
"126",1999,"Minnesota","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Male",11,2410550,"Unreliable"
"127",1999,"Mississippi","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Female",40,1464581,"2.7"
"128",1999,"Mississippi","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",47,1363827,"3.4"
"129",1999,"Mississippi","D2","Drug poisonings (overdose) Suicide (X60-X64)","Female",12,1464581,"Unreliable"
"130",1999,"Mississippi","D4",NA,NA,0,NA,NA
"131",1999,"Missouri","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Female",52,2860166,"1.8"
"132",1999,"Missouri","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",153,2701782,"5.7"
"133",1999,"Missouri","D2","Drug poisonings (overdose) Suicide (X60-X64)","Female",40,2860166,"1.4"
"134",1999,"Missouri","D2","Drug poisonings (overdose) Suicide (X60-X64)","Male",44,2701782,"1.6"
"135",1999,"Missouri","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Female",10,2860166,"Unreliable"
"136",1999,"Missouri","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Male",19,2701782,"Unreliable"
"137",1999,"Montana","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",10,446964,"Unreliable"
"138",1999,"Montana","D2","Drug poisonings (overdose) Suicide (X60-X64)","Female",14,450543,"Unreliable"
"139",1999,"Montana","D4",NA,NA,0,NA,NA
"140",1999,"Nebraska","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Female",16,865531,"Unreliable"
"141",1999,"Nebraska","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",17,839233,"Unreliable"
"142",1999,"Nebraska","D2",NA,NA,0,NA,NA
"143",1999,"Nebraska","D4",NA,NA,0,NA,NA
"144",1999,"Nevada","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Female",54,949422,"5.7"
"145",1999,"Nevada","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",112,985296,"11.4"
"146",1999,"Nevada","D2","Drug poisonings (overdose) Suicide (X60-X64)","Female",30,949422,"3.2"
"147",1999,"Nevada","D2","Drug poisonings (overdose) Suicide (X60-X64)","Male",27,985296,"2.7"
"148",1999,"Nevada","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Female",14,949422,"Unreliable"
"149",1999,"Nevada","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Male",26,985296,"2.6"
"150",1999,"New Hampshire","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Female",10,621409,"Unreliable"
"151",1999,"New Hampshire","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",28,600605,"4.7"
"152",1999,"New Hampshire","D2","Drug poisonings (overdose) Suicide (X60-X64)","Female",10,621409,"Unreliable"
"153",1999,"New Hampshire","D4",NA,NA,0,NA,NA
"154",1999,"New Jersey","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Female",121,4304271,"2.8"
"155",1999,"New Jersey","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",384,4055321,"9.5"
"156",1999,"New Jersey","D2","Drug poisonings (overdose) Suicide (X60-X64)","Female",36,4304271,"0.8"
"157",1999,"New Jersey","D2","Drug poisonings (overdose) Suicide (X60-X64)","Male",49,4055321,"1.2"
"158",1999,"New Jersey","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Female",19,4304271,"Unreliable"
"159",1999,"New Jersey","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Male",29,4055321,"0.7"
"160",1999,"New Mexico","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Female",47,918661,"5.1"
"161",1999,"New Mexico","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",197,889421,"22.1"
"162",1999,"New Mexico","D2","Drug poisonings (overdose) Suicide (X60-X64)","Female",21,918661,"2.3"
"163",1999,"New Mexico","D2","Drug poisonings (overdose) Suicide (X60-X64)","Male",23,889421,"2.6"
"164",1999,"New Mexico","D4",NA,NA,0,NA,NA
"165",1999,"New York","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Female",230,9777654,"2.4"
"166",1999,"New York","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",692,9105071,"7.6"
"167",1999,"New York","D2","Drug poisonings (overdose) Suicide (X60-X64)","Female",56,9777654,"0.6"
"168",1999,"New York","D2","Drug poisonings (overdose) Suicide (X60-X64)","Male",52,9105071,"0.6"
"169",1999,"New York","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Female",14,9777654,"Unreliable"
"170",1999,"New York","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Male",35,9105071,"0.4"
"171",1999,"North Carolina","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Female",98,4062710,"2.4"
"172",1999,"North Carolina","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",177,3886651,"4.6"
"173",1999,"North Carolina","D2","Drug poisonings (overdose) Suicide (X60-X64)","Female",66,4062710,"1.6"
"174",1999,"North Carolina","D2","Drug poisonings (overdose) Suicide (X60-X64)","Male",43,3886651,"1.1"
"175",1999,"North Carolina","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Female",11,4062710,"Unreliable"
"176",1999,"Ohio","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Female",123,5835017,"2.1"
"177",1999,"Ohio","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",283,5500437,"5.1"
"178",1999,"Ohio","D2","Drug poisonings (overdose) Suicide (X60-X64)","Female",55,5835017,"0.9"
"179",1999,"Ohio","D2","Drug poisonings (overdose) Suicide (X60-X64)","Male",40,5500437,"0.7"
"180",1999,"Ohio","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Female",25,5835017,"0.4"
"181",1999,"Ohio","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Male",26,5500437,"0.5"
"182",1999,"Oklahoma","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Female",48,1748783,"2.7"
"183",1999,"Oklahoma","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",80,1688364,"4.7"
"184",1999,"Oklahoma","D2","Drug poisonings (overdose) Suicide (X60-X64)","Female",27,1748783,"1.5"
"185",1999,"Oklahoma","D2","Drug poisonings (overdose) Suicide (X60-X64)","Male",30,1688364,"1.8"
"186",1999,"Oklahoma","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Male",12,1688364,"Unreliable"
"187",1999,"Oregon","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Female",54,1712226,"3.2"
"188",1999,"Oregon","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",180,1681715,"10.7"
"189",1999,"Oregon","D2","Drug poisonings (overdose) Suicide (X60-X64)","Female",19,1712226,"Unreliable"
"190",1999,"Oregon","D2","Drug poisonings (overdose) Suicide (X60-X64)","Male",27,1681715,"1.6"
"191",1999,"Oregon","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Female",16,1712226,"Unreliable"
"192",1999,"Oregon","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Male",23,1681715,"1.4"
"193",1999,"Pennsylvania","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Female",210,6347064,"3.3"
"194",1999,"Pennsylvania","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",579,5916741,"9.8"
"195",1999,"Pennsylvania","D2","Drug poisonings (overdose) Suicide (X60-X64)","Female",65,6347064,"1.0"
"196",1999,"Pennsylvania","D2","Drug poisonings (overdose) Suicide (X60-X64)","Male",76,5916741,"1.3"
"197",1999,"Pennsylvania","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Female",52,6347064,"0.8"
"198",1999,"Pennsylvania","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Male",81,5916741,"1.4"
"199",1999,"Rhode Island","D1",NA,NA,0,NA,NA
"200",1999,"Rhode Island","D2","Drug poisonings (overdose) Suicide (X60-X64)","Male",10,499678,"Unreliable"
"201",1999,"Rhode Island","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Female",20,540724,"3.7"
"202",1999,"Rhode Island","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Male",24,499678,"4.8"
"203",1999,"South Carolina","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Female",38,2045606,"1.9"
"204",1999,"South Carolina","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",86,1929076,"4.5"
"205",1999,"South Carolina","D2","Drug poisonings (overdose) Suicide (X60-X64)","Female",19,2045606,"Unreliable"
"206",1999,"South Carolina","D2","Drug poisonings (overdose) Suicide (X60-X64)","Male",13,1929076,"Unreliable"
"207",1999,"South Carolina","D4",NA,NA,0,NA,NA
"208",1999,"Tennessee","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Female",83,2897466,"2.9"
"209",1999,"Tennessee","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",145,2741240,"5.3"
"210",1999,"Tennessee","D2","Drug poisonings (overdose) Suicide (X60-X64)","Female",40,2897466,"1.4"
"211",1999,"Tennessee","D2","Drug poisonings (overdose) Suicide (X60-X64)","Male",53,2741240,"1.9"
"212",1999,"Tennessee","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Female",26,2897466,"0.9"
"213",1999,"Tennessee","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Male",24,2741240,"0.9"
"214",1999,"Texas","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Female",294,10360202,"2.8"
"215",1999,"Texas","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",651,10198018,"6.4"
"216",1999,"Texas","D2","Drug poisonings (overdose) Suicide (X60-X64)","Female",110,10360202,"1.1"
"217",1999,"Texas","D2","Drug poisonings (overdose) Suicide (X60-X64)","Male",112,10198018,"1.1"
"218",1999,"Texas","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Female",43,10360202,"0.4"
"219",1999,"Texas","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Male",59,10198018,"0.6"
"220",1999,"Utah","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Female",10,1100167,"Unreliable"
"221",1999,"Utah","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",20,1103315,"1.8"
"222",1999,"Utah","D2","Drug poisonings (overdose) Suicide (X60-X64)","Female",18,1100167,"Unreliable"
"223",1999,"Utah","D2","Drug poisonings (overdose) Suicide (X60-X64)","Male",18,1103315,"Unreliable"
"224",1999,"Utah","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Female",37,1100167,"3.4"
"225",1999,"Utah","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Male",113,1103315,"10.2"
"226",1999,"Vermont","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",12,296285,"Unreliable"
"227",1999,"Vermont","D2",NA,NA,0,NA,NA
"228",1999,"Vermont","D4",NA,NA,0,NA,NA
"229",1999,"Virginia","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Female",69,3569683,"1.9"
"230",1999,"Virginia","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",204,3430491,"5.9"
"231",1999,"Virginia","D2","Drug poisonings (overdose) Suicide (X60-X64)","Female",66,3569683,"1.8"
"232",1999,"Virginia","D2","Drug poisonings (overdose) Suicide (X60-X64)","Male",43,3430491,"1.3"
"233",1999,"Virginia","D4",NA,NA,0,NA,NA
"234",1999,"Washington","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Female",121,2934901,"4.1"
"235",1999,"Washington","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",320,2907663,"11.0"
"236",1999,"Washington","D2","Drug poisonings (overdose) Suicide (X60-X64)","Female",56,2934901,"1.9"
"237",1999,"Washington","D2","Drug poisonings (overdose) Suicide (X60-X64)","Male",44,2907663,"1.5"
"238",1999,"Washington","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Female",26,2934901,"0.9"
"239",1999,"Washington","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Male",28,2907663,"1.0"
"240",1999,"West Virginia","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Female",16,931809,"Unreliable"
"241",1999,"West Virginia","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",32,879990,"3.6"
"242",1999,"West Virginia","D2","Drug poisonings (overdose) Suicide (X60-X64)","Female",10,931809,"Unreliable"
"243",1999,"West Virginia","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Male",14,879990,"Unreliable"
"244",1999,"Wisconsin","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Female",55,2701525,"2.0"
"245",1999,"Wisconsin","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",92,2631141,"3.5"
"246",1999,"Wisconsin","D2","Drug poisonings (overdose) Suicide (X60-X64)","Female",44,2701525,"1.6"
"247",1999,"Wisconsin","D2","Drug poisonings (overdose) Suicide (X60-X64)","Male",32,2631141,"1.2"
"248",1999,"Wisconsin","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Female",11,2701525,"Unreliable"
"249",1999,"Wisconsin","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Male",12,2631141,"Unreliable"
"250",1999,"Wyoming","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",10,247262,"Unreliable"
"251",1999,"Wyoming","D2",NA,NA,0,NA,NA
"252",1999,"Wyoming","D4",NA,NA,0,NA,NA
"253",2000,"Alabama","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Female",69,2300596,"3.0"
"254",2000,"Alabama","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",90,2146504,"4.2"
"255",2000,"Alabama","D2","Drug poisonings (overdose) Suicide (X60-X64)","Female",27,2300596,"1.2"
"256",2000,"Alabama","D2","Drug poisonings (overdose) Suicide (X60-X64)","Male",20,2146504,"0.9"
"257",2000,"Alabama","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Female",10,2300596,"Unreliable"
"258",2000,"Alabama","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Male",10,2146504,"Unreliable"
"259",2000,"Alaska","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Female",22,302820,"7.3"
"260",2000,"Alaska","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",21,324112,"6.5"
