"Notes"	"State"	"State Code"	"Year"	"Year Code"	"MCD - Drug/Alcohol Induced Cause"	"MCD - Drug/Alcohol Induced Cause Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2003"	"2003"	"All other drug-induced causes"	"D9"	"Male"	"M"	190	2179422	8.7
	"Alabama"	"01"	"2004"	"2004"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Female"	"F"	99	2337857	4.2
	"Alabama"	"01"	"2004"	"2004"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Male"	"M"	164	2192872	7.5
	"Alabama"	"01"	"2004"	"2004"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Female"	"F"	22	2337857	0.9
	"Alabama"	"01"	"2004"	"2004"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Male"	"M"	20	2192872	0.9
	"Alabama"	"01"	"2004"	"2004"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"Male"	"M"	13	2192872	Unreliable
	"Alabama"	"01"	"2004"	"2004"	"All other drug-induced causes"	"D9"	"Female"	"F"	126	2337857	5.4
	"Alabama"	"01"	"2004"	"2004"	"All other drug-induced causes"	"D9"	"Male"	"M"	227	2192872	10.4
	"Alabama"	"01"	"2005"	"2005"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Female"	"F"	86	2356423	3.6
	"Alabama"	"01"	"2005"	"2005"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Male"	"M"	156	2213382	7.0
	"Alabama"	"01"	"2005"	"2005"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Female"	"F"	14	2356423	Unreliable
	"Alabama"	"01"	"2005"	"2005"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Male"	"M"	15	2213382	Unreliable
	"Alabama"	"01"	"2005"	"2005"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"Female"	"F"	13	2356423	Unreliable
	"Alabama"	"01"	"2005"	"2005"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"Male"	"M"	26	2213382	1.2
	"Alabama"	"01"	"2005"	"2005"	"All other drug-induced causes"	"D9"	"Female"	"F"	153	2356423	6.5
	"Alabama"	"01"	"2005"	"2005"	"All other drug-induced causes"	"D9"	"Male"	"M"	253	2213382	11.4
	"Alabama"	"01"	"2006"	"2006"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Female"	"F"	130	2385480	5.4
	"Alabama"	"01"	"2006"	"2006"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Male"	"M"	222	2243501	9.9
	"Alabama"	"01"	"2006"	"2006"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Female"	"F"	19	2385480	Unreliable
	"Alabama"	"01"	"2006"	"2006"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Male"	"M"	21	2243501	0.9
	"Alabama"	"01"	"2006"	"2006"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"Female"	"F"	22	2385480	0.9
	"Alabama"	"01"	"2006"	"2006"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"Male"	"M"	29	2243501	1.3
	"Alabama"	"01"	"2006"	"2006"	"All other drug-induced causes"	"D9"	"Female"	"F"	161	2385480	6.7
	"Alabama"	"01"	"2006"	"2006"	"All other drug-induced causes"	"D9"	"Male"	"M"	297	2243501	13.2
	"Alabama"	"01"	"2007"	"2007"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Female"	"F"	188	2407275	7.8
	"Alabama"	"01"	"2007"	"2007"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Male"	"M"	264	2265565	11.7
	"Alabama"	"01"	"2007"	"2007"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Female"	"F"	29	2407275	1.2
	"Alabama"	"01"	"2007"	"2007"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Male"	"M"	22	2265565	1.0
	"Alabama"	"01"	"2007"	"2007"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"Female"	"F"	16	2407275	Unreliable
	"Alabama"	"01"	"2007"	"2007"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"Male"	"M"	23	2265565	1.0
	"Alabama"	"01"	"2007"	"2007"	"All other drug-induced causes"	"D9"	"Female"	"F"	188	2407275	7.8
	"Alabama"	"01"	"2007"	"2007"	"All other drug-induced causes"	"D9"	"Male"	"M"	307	2265565	13.6
	"Alabama"	"01"	"2008"	"2008"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Female"	"F"	232	2430257	9.5
	"Alabama"	"01"	"2008"	"2008"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Male"	"M"	285	2287949	12.5
	"Alabama"	"01"	"2008"	"2008"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Female"	"F"	29	2430257	1.2
	"Alabama"	"01"	"2008"	"2008"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Male"	"M"	20	2287949	0.9
	"Alabama"	"01"	"2008"	"2008"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"Female"	"F"	38	2430257	1.6
	"Alabama"	"01"	"2008"	"2008"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"Male"	"M"	41	2287949	1.8
	"Alabama"	"01"	"2008"	"2008"	"All other drug-induced causes"	"D9"	"Female"	"F"	148	2430257	6.1
	"Alabama"	"01"	"2008"	"2008"	"All other drug-induced causes"	"D9"	"Male"	"M"	272	2287949	11.9
	"Alabama"	"01"	"2009"	"2009"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Female"	"F"	251	2448159	10.3
	"Alabama"	"01"	"2009"	"2009"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Male"	"M"	310	2309779	13.4
	"Alabama"	"01"	"2009"	"2009"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Female"	"F"	27	2448159	1.1
	"Alabama"	"01"	"2009"	"2009"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Male"	"M"	26	2309779	1.1
	"Alabama"	"01"	"2009"	"2009"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"Female"	"F"	22	2448159	0.9
	"Alabama"	"01"	"2009"	"2009"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"Male"	"M"	17	2309779	Unreliable
	"Alabama"	"01"	"2009"	"2009"	"All other drug-induced causes"	"D9"	"Female"	"F"	214	2448159	8.7
	"Alabama"	"01"	"2009"	"2009"	"All other drug-induced causes"	"D9"	"Male"	"M"	304	2309779	13.2
	"Alabama"	"01"	"2010"	"2010"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Female"	"F"	213	2459548	8.7
	"Alabama"	"01"	"2010"	"2010"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Male"	"M"	281	2320188	12.1
	"Alabama"	"01"	"2010"	"2010"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Female"	"F"	28	2459548	1.1
	"Alabama"	"01"	"2010"	"2010"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Male"	"M"	26	2320188	1.1
	"Alabama"	"01"	"2010"	"2010"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"Female"	"F"	12	2459548	Unreliable
	"Alabama"	"01"	"2010"	"2010"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"Male"	"M"	16	2320188	Unreliable
	"Alabama"	"01"	"2010"	"2010"	"All other drug-induced causes"	"D9"	"Female"	"F"	187	2459548	7.6
	"Alabama"	"01"	"2010"	"2010"	"All other drug-induced causes"	"D9"	"Male"	"M"	302	2320188	13.0
	"Alabama"	"01"	"2011"	"2011"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Female"	"F"	222	2473249	9.0
	"Alabama"	"01"	"2011"	"2011"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Male"	"M"	291	2329491	12.5
	"Alabama"	"01"	"2011"	"2011"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Female"	"F"	17	2473249	Unreliable
	"Alabama"	"01"	"2011"	"2011"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Male"	"M"	22	2329491	0.9
	"Alabama"	"01"	"2011"	"2011"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"Female"	"F"	15	2473249	Unreliable
	"Alabama"	"01"	"2011"	"2011"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"Male"	"M"	11	2329491	Unreliable
	"Alabama"	"01"	"2011"	"2011"	"All other drug-induced causes"	"D9"	"Female"	"F"	215	2473249	8.7
	"Alabama"	"01"	"2011"	"2011"	"All other drug-induced causes"	"D9"	"Male"	"M"	363	2329491	15.6
	"Alabama"	"01"	"2012"	"2012"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Female"	"F"	202	2483466	8.1
	"Alabama"	"01"	"2012"	"2012"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Male"	"M"	301	2338557	12.9
	"Alabama"	"01"	"2012"	"2012"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Female"	"F"	21	2483466	0.8
	"Alabama"	"01"	"2012"	"2012"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Male"	"M"	37	2338557	1.6
	"Alabama"	"01"	"2012"	"2012"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"Female"	"F"	13	2483466	Unreliable
	"Alabama"	"01"	"2012"	"2012"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"Male"	"M"	14	2338557	Unreliable
	"Alabama"	"01"	"2012"	"2012"	"All other drug-induced causes"	"D9"	"Female"	"F"	239	2483466	9.6
	"Alabama"	"01"	"2012"	"2012"	"All other drug-induced causes"	"D9"	"Male"	"M"	394	2338557	16.8
	"Alabama"	"01"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Female"	"F"	225	2488375	9.0
	"Alabama"	"01"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Male"	"M"	329	2345347	14.0
	"Alabama"	"01"	"2013"	"2013"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Female"	"F"	27	2488375	1.1
	"Alabama"	"01"	"2013"	"2013"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Male"	"M"	18	2345347	Unreliable
	"Alabama"	"01"	"2013"	"2013"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"Female"	"F"	21	2488375	0.8
	"Alabama"	"01"	"2013"	"2013"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"Male"	"M"	18	2345347	Unreliable
	"Alabama"	"01"	"2013"	"2013"	"All other drug-induced causes"	"D9"	"Female"	"F"	235	2488375	9.4
	"Alabama"	"01"	"2013"	"2013"	"All other drug-induced causes"	"D9"	"Male"	"M"	402	2345347	17.1
	"Alabama"	"01"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Female"	"F"	293	2499410	11.7
	"Alabama"	"01"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Male"	"M"	382	2349967	16.3
	"Alabama"	"01"	"2014"	"2014"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Female"	"F"	29	2499410	1.2
	"Alabama"	"01"	"2014"	"2014"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Male"	"M"	25	2349967	1.1
	"Alabama"	"01"	"2014"	"2014"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"Female"	"F"	21	2499410	0.8
	"Alabama"	"01"	"2014"	"2014"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"Male"	"M"	14	2349967	Unreliable
	"Alabama"	"01"	"2014"	"2014"	"All other drug-induced causes"	"D9"	"Female"	"F"	290	2499410	11.6
	"Alabama"	"01"	"2014"	"2014"	"All other drug-induced causes"	"D9"	"Male"	"M"	447	2349967	19.0
	"Alabama"	"01"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Female"	"F"	276	2505795	11.0
	"Alabama"	"01"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Male"	"M"	412	2353184	17.5
	"Alabama"	"01"	"2015"	"2015"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Female"	"F"	26	2505795	1.0
	"Alabama"	"01"	"2015"	"2015"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Male"	"M"	20	2353184	0.8
	"Alabama"	"01"	"2015"	"2015"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"Female"	"F"	21	2505795	0.8
	"Alabama"	"01"	"2015"	"2015"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"Male"	"M"	18	2353184	Unreliable
	"Alabama"	"01"	"2015"	"2015"	"All other drug-induced causes"	"D9"	"Female"	"F"	246	2505795	9.8
	"Alabama"	"01"	"2015"	"2015"	"All other drug-induced causes"	"D9"	"Male"	"M"	523	2353184	22.2
	"Alabama"	"01"	"2016"	"2016"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Female"	"F"	273	2507714	10.9
	"Alabama"	"01"	"2016"	"2016"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Male"	"M"	443	2355586	18.8
	"Alabama"	"01"	"2016"	"2016"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Female"	"F"	28	2507714	1.1
	"Alabama"	"01"	"2016"	"2016"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Male"	"M"	23	2355586	1.0
	"Alabama"	"01"	"2016"	"2016"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"Female"	"F"	16	2507714	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"Male"	"M"	12	2355586	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"All other drug-induced causes"	"D9"	"Female"	"F"	1484	2507714	59.2
	"Alabama"	"01"	"2016"	"2016"	"All other drug-induced causes"	"D9"	"Male"	"M"	2605	2355586	110.6
	"Alabama"	"01"	"2017"	"2017"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Female"	"F"	279	2514911	11.1
	"Alabama"	"01"	"2017"	"2017"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Male"	"M"	528	2359836	22.4
	"Alabama"	"01"	"2017"	"2017"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Female"	"F"	26	2514911	1.0
	"Alabama"	"01"	"2017"	"2017"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Male"	"M"	27	2359836	1.1
	"Alabama"	"01"	"2017"	"2017"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"Female"	"F"	26	2514911	1.0
	"Alabama"	"01"	"2017"	"2017"	"All other drug-induced causes"	"D9"	"Female"	"F"	1583	2514911	62.9
	"Alabama"	"01"	"2017"	"2017"	"All other drug-induced causes"	"D9"	"Male"	"M"	2748	2359836	116.4
	"Alabama"	"01"	"2018"	"2018"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Female"	"F"	275	2523756	10.9
	"Alabama"	"01"	"2018"	"2018"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Male"	"M"	454	2364115	19.2
	"Alabama"	"01"	"2018"	"2018"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Female"	"F"	31	2523756	1.2
	"Alabama"	"01"	"2018"	"2018"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Male"	"M"	25	2364115	1.1
	"Alabama"	"01"	"2018"	"2018"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"Female"	"F"	15	2523756	Unreliable
	"Alabama"	"01"	"2018"	"2018"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"Male"	"M"	21	2364115	0.9
	"Alabama"	"01"	"2018"	"2018"	"All other drug-induced causes"	"D9"	"Female"	"F"	1613	2523756	63.9
	"Alabama"	"01"	"2018"	"2018"	"All other drug-induced causes"	"D9"	"Male"	"M"	2797	2364115	118.3
	"Alabama"	"01"	"2019"	"2019"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Female"	"F"	266	2533668	10.5
	"Alabama"	"01"	"2019"	"2019"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Male"	"M"	476	2369517	20.1
	"Alabama"	"01"	"2019"	"2019"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Female"	"F"	32	2533668	1.3
	"Alabama"	"01"	"2019"	"2019"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Male"	"M"	18	2369517	Unreliable
	"Alabama"	"01"	"2019"	"2019"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"Female"	"F"	13	2533668	Unreliable
	"Alabama"	"01"	"2019"	"2019"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"Male"	"M"	15	2369517	Unreliable
	"Alabama"	"01"	"2019"	"2019"	"All other drug-induced causes"	"D9"	"Female"	"F"	1612	2533668	63.6
	"Alabama"	"01"	"2019"	"2019"	"All other drug-induced causes"	"D9"	"Male"	"M"	2700	2369517	113.9
	"Alaska"	"02"	"1999"	"1999"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Female"	"F"	15	301266	Unreliable
	"Alaska"	"02"	"1999"	"1999"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Male"	"M"	18	323513	Unreliable
	"Alaska"	"02"	"1999"	"1999"	"All other drug-induced causes"	"D9"	"Female"	"F"	36	301266	11.9
	"Alaska"	"02"	"1999"	"1999"	"All other drug-induced causes"	"D9"	"Male"	"M"	37	323513	11.4
	"Alaska"	"02"	"2000"	"2000"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Female"	"F"	22	302820	7.3
	"Alaska"	"02"	"2000"	"2000"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Male"	"M"	21	324112	6.5
	"Alaska"	"02"	"2000"	"2000"	"All other drug-induced causes"	"D9"	"Female"	"F"	34	302820	11.2
	"Alaska"	"02"	"2000"	"2000"	"All other drug-induced causes"	"D9"	"Male"	"M"	49	324112	15.1
	"Alaska"	"02"	"2001"	"2001"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Female"	"F"	23	305579	7.5
	"Alaska"	"02"	"2001"	"2001"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Male"	"M"	35	328135	10.7
	"Alaska"	"02"	"2001"	"2001"	"All other drug-induced causes"	"D9"	"Female"	"F"	38	305579	12.4
	"Alaska"	"02"	"2001"	"2001"	"All other drug-induced causes"	"D9"	"Male"	"M"	52	328135	15.8
	"Alaska"	"02"	"2002"	"2002"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Female"	"F"	30	309633	9.7
	"Alaska"	"02"	"2002"	"2002"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Male"	"M"	43	332704	12.9
	"Alaska"	"02"	"2002"	"2002"	"All other drug-induced causes"	"D9"	"Female"	"F"	29	309633	9.4
	"Alaska"	"02"	"2002"	"2002"	"All other drug-induced causes"	"D9"	"Male"	"M"	53	332704	15.9
	"Alaska"	"02"	"2003"	"2003"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Female"	"F"	36	313034	11.5
	"Alaska"	"02"	"2003"	"2003"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Male"	"M"	42	335380	12.5
	"Alaska"	"02"	"2003"	"2003"	"All other drug-induced causes"	"D9"	"Female"	"F"	30	313034	9.6
	"Alaska"	"02"	"2003"	"2003"	"All other drug-induced causes"	"D9"	"Male"	"M"	41	335380	12.2
	"Alaska"	"02"	"2004"	"2004"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Female"	"F"	32	317807	10.1
	"Alaska"	"02"	"2004"	"2004"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Male"	"M"	38	341479	11.1
	"Alaska"	"02"	"2004"	"2004"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Female"	"F"	11	317807	Unreliable
	"Alaska"	"02"	"2004"	"2004"	"All other drug-induced causes"	"D9"	"Female"	"F"	25	317807	7.9
	"Alaska"	"02"	"2004"	"2004"	"All other drug-induced causes"	"D9"	"Male"	"M"	44	341479	12.9
	"Alaska"	"02"	"2005"	"2005"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Female"	"F"	28	320920	8.7
	"Alaska"	"02"	"2005"	"2005"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Male"	"M"	41	346026	11.8
	"Alaska"	"02"	"2005"	"2005"	"All other drug-induced causes"	"D9"	"Female"	"F"	31	320920	9.7
	"Alaska"	"02"	"2005"	"2005"	"All other drug-induced causes"	"D9"	"Male"	"M"	48	346026	13.9
	"Alaska"	"02"	"2006"	"2006"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Female"	"F"	22	325121	6.8
	"Alaska"	"02"	"2006"	"2006"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Male"	"M"	51	350181	14.6
	"Alaska"	"02"	"2006"	"2006"	"All other drug-induced causes"	"D9"	"Female"	"F"	41	325121	12.6
	"Alaska"	"02"	"2006"	"2006"	"All other drug-induced causes"	"D9"	"Male"	"M"	52	350181	14.8
	"Alaska"	"02"	"2007"	"2007"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Female"	"F"	26	327138	7.9
	"Alaska"	"02"	"2007"	"2007"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Male"	"M"	43	353162	12.2
	"Alaska"	"02"	"2007"	"2007"	"All other drug-induced causes"	"D9"	"Female"	"F"	32	327138	9.8
	"Alaska"	"02"	"2007"	"2007"	"All other drug-induced causes"	"D9"	"Male"	"M"	69	353162	19.5
	"Alaska"	"02"	"2008"	"2008"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Female"	"F"	31	329412	9.4
	"Alaska"	"02"	"2008"	"2008"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Male"	"M"	77	358043	21.5
